Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-18 07:33:00,41281.11000000,41291.10000000,41277.41000000,41277.42000000,28.68197000,2023-12-18 07:33:59.999,1184083.43260540,942,16.35410000,675183.25406940,0
2023-12-18 07:34:00,41277.42000000,41293.93000000,41277.41000000,41289.25000000,27.11604000,2023-12-18 07:34:59.999,1119443.07785270,1207,15.77817000,651363.81288910,0
2023-12-18 07:35:00,41289.26000000,41296.00000000,41280.01000000,41280.02000000,19.90074000,2023-12-18 07:35:59.999,821603.48667290,1208,14.18126000,585464.42398780,0
2023-12-18 07:36:00,41280.02000000,41280.02000000,41251.10000000,41257.99000000,27.45844000,2023-12-18 07:36:59.999,1133199.80703550,1474,8.04525000,331979.19423930,0
2023-12-18 07:37:00,41257.99000000,41288.23000000,41251.11000000,41265.40000000,54.50382000,2023-12-18 07:37:59.999,2249253.60579120,1669,29.74499000,1227316.12273220,0
2023-12-18 07:38:00,41265.40000000,41265.40000000,41238.45000000,41238.46000000,15.77900000,2023-12-18 07:38:59.999,650978.37879140,987,6.24936000,257844.21353270,0
2023-12-18 07:39:00,41238.45000000,41238.46000000,41236.10000000,41238.13000000,18.56550000,2023-12-18 07:39:59.999,765599.60828190,784,10.81790000,446103.59994900,0
2023-12-18 07:40:00,41238.13000000,41261.88000000,41238.13000000,41238.15000000,23.80334000,2023-12-18 07:40:59.999,981892.05329750,1318,13.29770000,548508.34382300,0
2023-12-18 07:41:00,41238.14000000,41238.15000000,41223.00000000,41223.00000000,22.84263000,2023-12-18 07:41:59.999,941882.81857620,974,8.63451000,356024.88132630,0
2023-12-18 07:42:00,41223.01000000,41223.01000000,41191.10000000,41205.38000000,15.62329000,2023-12-18 07:42:59.999,643718.93900850,1130,6.79584000,279994.26432840,0
2023-12-18 07:43:00,41205.38000000,41211.88000000,41176.00000000,41176.00000000,24.03828000,2023-12-18 07:43:59.999,990251.91405550,1160,7.52758000,310080.65932890,0
2023-12-18 07:44:00,41176.01000000,41181.11000000,41169.81000000,41174.60000000,35.45829000,2023-12-18 07:44:59.999,1460032.94605040,1050,24.59720000,1012801.95433720,0
2023-12-18 07:45:00,41174.61000000,41179.99000000,41168.67000000,41179.98000000,20.01262000,2023-12-18 07:45:59.999,823931.35393810,821,12.07592000,497169.27318440,0
2023-12-18 07:46:00,41179.98000000,41187.77000000,41175.98000000,41175.99000000,19.01914000,2023-12-18 07:46:59.999,783242.72109760,890,6.71214000,276417.57579600,0
2023-12-18 07:47:00,41175.99000000,41177.92000000,41156.00000000,41164.00000000,40.71089000,2023-12-18 07:47:59.999,1675915.31070580,1052,12.35583000,508595.21012950,0
2023-12-18 07:48:00,41163.99000000,41168.46000000,41124.00000000,41150.00000000,72.81440000,2023-12-18 07:48:59.999,2995582.18110610,2007,34.99561000,1439658.15073230,0
2023-12-18 07:49:00,41149.99000000,41176.67000000,41149.99000000,41170.59000000,20.91661000,2023-12-18 07:49:59.999,861111.47993450,1294,9.43876000,388575.73418930,0
2023-12-18 07:50:00,41170.60000000,41170.60000000,41134.00000000,41136.63000000,27.22853000,2023-12-18 07:50:59.999,1120390.34369180,1090,7.59494000,312464.42050550,0
2023-12-18 07:51:00,41136.62000000,41136.63000000,41121.66000000,41132.93000000,27.22438000,2023-12-18 07:51:59.999,1119749.23214140,952,7.85495000,323046.81756760,0
2023-12-18 07:52:00,41132.92000000,41150.00000000,41132.92000000,41150.00000000,23.17734000,2023-12-18 07:52:59.999,953542.96511780,883,12.93493000,532156.39649970,0
2023-12-18 07:53:00,41149.99000000,41150.00000000,41135.38000000,41143.99000000,34.70037000,2023-12-18 07:53:59.999,1427626.09073740,1153,20.31094000,835611.78732100,0
2023-12-18 07:54:00,41143.99000000,41143.99000000,41135.38000000,41135.39000000,31.17022000,2023-12-18 07:54:59.999,1282365.11524460,1114,16.12427000,663344.21314340,0
2023-12-18 07:55:00,41135.40000000,41136.91000000,41110.01000000,41115.94000000,35.87375000,2023-12-18 07:55:59.999,1475191.95553730,1421,8.57150000,352454.60955200,0
2023-12-18 07:56:00,41115.94000000,41118.66000000,41103.26000000,41103.26000000,22.92711000,2023-12-18 07:56:59.999,942625.70041200,840,4.82683000,198448.59227810,0
2023-12-18 07:57:00,41103.27000000,41126.02000000,41103.26000000,41126.02000000,41.03410000,2023-12-18 07:57:59.999,1687012.42816960,1236,23.91425000,983211.90671630,0
2023-12-18 07:58:00,41126.02000000,41126.02000000,41101.84000000,41101.84000000,10.33873000,2023-12-18 07:58:59.999,425090.95029750,1149,2.56950000,105652.50438180,0
2023-12-18 07:59:00,41101.85000000,41126.02000000,41101.84000000,41126.02000000,17.82591000,2023-12-18 07:59:59.999,732942.59264860,1121,13.26056000,545204.07465930,0
2023-12-18 08:00:00,41126.01000000,41140.00000000,41113.23000000,41140.00000000,30.84412000,2023-12-18 08:00:59.999,1268687.58330520,1435,19.59451000,806000.08265020,0
2023-12-18 08:01:00,41140.00000000,41150.00000000,41116.10000000,41120.64000000,48.30517000,2023-12-18 08:01:59.999,1987163.41728570,1344,26.02061000,1070456.87064590,0
2023-12-18 08:02:00,41120.64000000,41150.00000000,41120.64000000,41150.00000000,11.53070000,2023-12-18 08:02:59.999,474347.56491300,878,7.36689000,303058.73558540,0
2023-12-18 08:03:00,41150.00000000,41150.00000000,41138.36000000,41138.38000000,16.37389000,2023-12-18 08:03:59.999,673740.53183630,797,4.62275000,190214.56007140,0
2023-12-18 08:04:00,41138.37000000,41149.24000000,41138.37000000,41149.23000000,9.12928000,2023-12-18 08:04:59.999,375636.50685190,701,6.92891000,285096.39552110,0
2023-12-18 08:05:00,41149.23000000,41149.24000000,41132.00000000,41132.00000000,19.15467000,2023-12-18 08:05:59.999,788108.32109020,945,5.92845000,243919.50568050,0
2023-12-18 08:06:00,41132.01000000,41148.63000000,41132.00000000,41148.63000000,19.44425000,2023-12-18 08:06:59.999,799959.06511140,898,16.39842000,674643.58616530,0
2023-12-18 08:07:00,41148.63000000,41159.96000000,41138.00000000,41159.96000000,22.40043000,2023-12-18 08:07:59.999,921703.87434260,1122,15.14142000,623004.18077930,0
2023-12-18 08:08:00,41159.95000000,41159.96000000,41125.33000000,41140.83000000,73.15078000,2023-12-18 08:08:59.999,3009651.26046060,1573,8.98707000,369730.48386190,0
2023-12-18 08:09:00,41140.82000000,41148.85000000,41105.00000000,41105.01000000,31.03754000,2023-12-18 08:09:59.999,1276662.92802590,1195,12.59225000,518026.62887310,0
2023-12-18 08:10:00,41105.00000000,41105.01000000,41064.37000000,41072.00000000,33.93538000,2023-12-18 08:10:59.999,1394203.69110860,1721,9.46380000,388740.19253040,0
2023-12-18 08:11:00,41071.99000000,41085.95000000,41067.94000000,41079.75000000,17.84113000,2023-12-18 08:11:59.999,732829.74079630,1046,6.42317000,263850.31114190,0
2023-12-18 08:12:00,41079.75000000,41086.56000000,41050.00000000,41078.11000000,33.94206000,2023-12-18 08:12:59.999,1393956.03659700,1729,18.96528000,778857.94886600,0
